date,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Wind speed,,,,,,,,
22-Mar-2020 - 00:00,90.16,176.5,9.43,28.79,23.02,37.52,17.8,56.49,0.74,,,,,,,,,
23-Mar-2020 - 00:00,64.07,152.99,10.89,28.22,23.89,29.95,15.46,49.71,0.61,,,,,,,,,
24-Mar-2020 - 00:00,63.92,145.89,8.52,29.32,22.55,28.03,16.65,49.83,0.48,,,,,,,,,
25-Mar-2020 - 00:00,44.61,102.92,5.87,17.18,13.9,30.35,8.44,44.41,0.43,,,,,,,,,
26-Mar-2020 - 00:00,60.84,115.16,2.78,14.32,9.87,27.86,16.21,34.61,0.39,,,,,,,,,
27-Mar-2020 - 00:00,25.57,54.01,6.31,13.78,12.47,18.45,8.61,32.1,0.62,,,,,,,,,
28-Mar-2020 - 00:00,27.76,61.29,3.27,16.64,11.51,19.05,7.47,32.85,0.38,,,,,,,,,
29-Mar-2020 - 00:00,32.8,84.84,2.24,12.1,8.27,18.23,8.35,49,0.21,,,,,,,,,
30-Mar-2020 - 00:00,34.22,95.75,2.02,13.4,8.77,19.05,8.73,53.01,0.3,,,,,,,,,
31-Mar-2020 - 00:00,72.75,141.12,1.56,13.51,8.48,25.26,,37.28,0.48,,,,,,,,,
01-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,
02-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,
03-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,
04-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,
05-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,
06-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,
07-Apr-2020 - 00:00,27.33,164.67,2.31,129.56,70.9,37.47,5.48,89.16,0.27,,,,,,,,,
08-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,
09-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,
10-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,
11-Apr-2020 - 00:00,33.9,124.19,,,4.85,41.38,,,,,,,,,,,,
12-Apr-2020 - 00:00,65.41,124.81,,,5.38,50.54,,,,,,,,,,,,
13-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,
14-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,
15-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,
16-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,
17-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,
18-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,
19-Apr-2020 - 00:00,69.6,189.75,5.41,49.53,30.51,39.8,16.57,62.11,0.93,,,,,,,,,
20-Apr-2020 - 00:00,75.08,181.29,6.75,40.67,27.15,34.11,12.69,50.69,1.61,,,,,,,,,
21-Apr-2020 - 00:00,55.88,146.58,1.8,31.29,18.12,34,20.61,72.6,1.67,,,,,,,,,
22-Apr-2020 - 00:00,60.02,173.83,2.07,32.72,19.09,29.82,12.44,80.98,0.66,,,,,,,,,
23-Apr-2020 - 00:00,75.6,183.83,4.07,38.16,23.63,34.11,19.71,65.55,0.46,,,,,,,,,
24-Apr-2020 - 00:00,103.25,228.4,5.72,38.38,25.08,38.25,19.81,83.62,0.85,,,,,,,,,
25-Apr-2020 - 00:00,36.04,126.27,1.76,28.57,16.63,29.08,7.11,83.37,0.34,,,,,,,,,
26-Apr-2020 - 00:00,48.44,167.23,3.5,29.06,18.3,31.74,12.54,69.13,0.88,,,,,,,,,
27-Apr-2020 - 00:00,37.77,83.4,2.76,26.99,16.58,33.65,8.7,73.94,0.85,,,,,,,,,
28-Apr-2020 - 00:00,53.21,127.52,2.65,27.62,16.85,34.95,16.58,84,0.63,,,,,,,,,
29-Apr-2020 - 00:00,68.88,164.79,4.97,31.08,20.61,35.69,13.26,86.35,0.77,,,,,,,,,
30-Apr-2020 - 00:00,63.48,148,2.7,31.56,18.99,41.05,13.03,86.86,0.49,,,,,,,,,
01-May-2020 - 00:00,78.99,196.16,3.81,30.44,19.31,49.2,17.25,86.98,1.09,,,,,,,,,
02-May-2020 - 00:00,39.18,133.97,3.19,26.3,16.58,44.75,10.37,82.22,0.9,,,,,,,,,
03-May-2020 - 00:00,37.73,96.42,2.5,25.99,15.86,40.45,9.52,64.66,0.77,,,,,,,,,
04-May-2020 - 00:00,36.1,91.17,1.7,24.51,14.42,39.06,10.27,75.87,0.61,,,,,,,,,
05-May-2020 - 00:00,72.71,178.67,3.12,31.89,19.52,38.04,13.69,76.59,0.69,,,,,,,,,
06-May-2020 - 00:00,86.27,234.67,2.24,28.73,17.1,39.29,14.66,80.04,0.74,,,,,,,,,
07-May-2020 - 00:00,41.79,116.12,2.63,23.65,14.64,32.89,12.98,105.12,0.53,,,,,,,,,
08-May-2020 - 00:00,74.98,182.9,1.97,25.95,15.42,36.99,16.67,106.66,1.08,,,,,,,,,
09-May-2020 - 00:00,68.25,167.5,3.32,29.57,18.44,39.43,15.18,106.07,0.52,,,,,,,,,
10-May-2020 - 00:00,60.31,129.91,2.78,23.67,14.76,42.28,11.52,76.35,0.42,,,,,,,,,
11-May-2020 - 00:00,57.75,129.92,4.3,29.01,18.95,39.41,13.32,89.37,0.63,,,,,,,,,
12-May-2020 - 00:00,59.02,150.79,2.34,23.13,14.22,38.54,15.39,94.29,0.61,,,,,,,,,
13-May-2020 - 00:00,105.27,246.79,2.25,31.54,18.63,44.61,21.02,71.11,0.76,,,,,,,,,
14-May-2020 - 00:00,92.94,229.71,5.06,28.24,19.12,44.34,14.63,78.66,0.68,,,,,,,,,
15-May-2020 - 00:00,67.33,160.67,2.53,25.9,15.86,42.03,17.86,78.56,0.54,,,,,,,,,
16-May-2020 - 00:00,91.31,206.15,1.79,25.48,15.01,40.38,23.68,92.13,2.23,,,,,,,,,
17-May-2020 - 00:00,113.23,254.12,2.3,29.42,17.48,39.33,30.94,94.71,0.63,,,,,,,,,
18-May-2020 - 00:00,119.91,264.16,4,41.83,25.49,38.21,31.72,82.02,0.82,,,,,,,,,
19-May-2020 - 00:00,118.65,327.52,11.63,50.19,35.82,35.76,23.9,80.89,1.41,,,,,,,,,
20-May-2020 - 00:00,93.63,219.37,2.39,36.62,21.43,35.68,29.66,88.34,0.55,,,,,,,,,
21-May-2020 - 00:00,72.84,225.19,2.31,33.31,19.62,34.38,27.86,85.5,1.16,,,,,,,,,
22-May-2020 - 00:00,136.01,310.98,8.66,47.39,32.29,40.7,38.11,86.24,1.63,,,,,,,,,
23-May-2020 - 00:00,102.81,304.42,15.42,48.88,38.56,31.78,18.61,49.54,1.7,,,,,,,,,
24-May-2020 - 00:00,67.24,246.69,2.87,27.38,16.79,32.87,17.14,69.31,1.61,,,,,,,,,
25-May-2020 - 00:00,71.68,208.64,2.08,27.53,16.34,35.41,27.46,73.22,1.52,,,,,,,,,
26-May-2020 - 00:00,89.44,266.27,9.96,35.23,26.89,35.17,33.17,56.74,1.69,,,,,,,,,
27-May-2020 - 00:00,56.43,221.35,4.76,34.78,22.37,25.05,16.51,91,1.29,,,,,,,,,
28-May-2020 - 00:00,53,273.62,4.53,26.21,17.65,25.59,8.76,58.28,1.3,,,,,,,,,
29-May-2020 - 00:00,31.19,94.36,4.96,28.35,19.16,42.8,10.1,44.56,1.32,,,,,,,,,
30-May-2020 - 00:00,27.07,61.95,8.31,35.75,25.8,46.63,7.38,52.74,1.49,,,,,,,,,
31-May-2020 - 00:00,25.53,53.08,4.22,25.81,17.19,45.73,5.89,40.96,1.63,,,,,,,,,
01-Jun-2020 - 00:00,46.17,115.22,3.41,24.57,15.86,47.83,15.64,50.64,1.46,,,,,,,,,
02-Jun-2020 - 00:00,52.03,125.01,2.81,26.23,16.24,43.04,6.94,48.89,1.39,,,,,,,,,
03-Jun-2020 - 00:00,56.79,146.96,5.99,31.09,21.42,48.57,11.8,56.48,1.31,,,,,,,,,
04-Jun-2020 - 00:00,71.6,175.92,11.95,39.02,30.46,46.46,14.46,37.58,1.63,,,,,,,,,
05-Jun-2020 - 00:00,48.21,116.46,4.75,28.37,18.94,46.01,10.81,52,1.47,,,,,,,,,
06-Jun-2020 - 00:00,47.02,125.32,6.68,28.75,20.74,21.97,6.93,32.11,1.48,,,,,,,,,
07-Jun-2020 - 00:00,50.26,134.54,4.02,27.24,17.77,17.36,10.57,33.77,1.52,,,,,,,,,
08-Jun-2020 - 00:00,54.14,143.49,2.63,25.19,15.53,16.66,12.16,41.03,1.42,,,,,,,,,
09-Jun-2020 - 00:00,78.55,205.32,13.09,39.04,31.44,17.09,15.89,39.9,1.6,,,,,,,,,
10-Jun-2020 - 00:00,72.41,205.34,5.68,33.8,22.62,15.97,7.94,30.49,1.54,,,,,,,,,
11-Jun-2020 - 00:00,70.97,191.88,5,29.06,19.5,15.47,10.06,34.39,1.27,,,,,,,,,
12-Jun-2020 - 00:00,85.41,238.35,10.99,39.53,30.01,14.28,8.87,37.33,1.78,,,,,,,,,
13-Jun-2020 - 00:00,72.8,202.78,8.2,39.11,27.51,13.74,6.18,20.75,2.59,,,,,,,,,
14-Jun-2020 - 00:00,79.98,218.53,9.8,30.04,23.94,14.08,8.1,12.63,1.58,,,,,,,,,
15-Jun-2020 - 00:00,62.92,172.36,11.5,30.01,25.31,12.9,5.41,13.21,0.57,,,,,,,,,
16-Jun-2020 - 00:00,53.25,155.65,15.79,31.04,29.39,12.2,8.55,14.34,1.45,,,,,,,,,
17-Jun-2020 - 00:00,42.38,128.73,8.71,28.5,22.31,11.49,5.17,14.44,1.13,,,,,,,,,
18-Jun-2020 - 00:00,43.22,126.85,6.33,24.64,18.28,13.36,4.95,14.86,1.53,,,,,,,,,
19-Jun-2020 - 00:00,73.19,221.91,7.95,25.99,20.31,15.41,4.34,13.21,1.51,,,,,,,,,
20-Jun-2020 - 00:00,41.91,111.36,7.17,29.98,21.82,13.41,2.16,14.16,1.52,,,,,,,,,
21-Jun-2020 - 00:00,50.85,128.53,13.55,32.85,28.43,14.61,3.49,17.12,1.43,,,,,,,,,
22-Jun-2020 - 00:00,41.65,99.58,3.38,22.26,14.62,15.34,4.45,16.57,1.35,,,,,,,,,
23-Jun-2020 - 00:00,34.19,81.91,10.56,27.45,23.21,17.36,3.03,15.4,1.84,,,,,,,,,
24-Jun-2020 - 00:00,32.22,75.11,9.7,26.99,22.22,17.5,1.34,13.88,1.4,,,,,,,,,
25-Jun-2020 - 00:00,46.75,119.76,7.19,30.55,22.12,18.27,1.14,15,1.99,,,,,,,,,
26-Jun-2020 - 00:00,52.19,134.31,11.47,28.9,24.67,17.31,2.48,15.2,1.54,,,,,,,,,
27-Jun-2020 - 00:00,51.23,201.74,4.51,21.11,14.88,16.1,4.55,9.72,0.72,,,,,,,,,
28-Jun-2020 - 00:00,63.68,379.8,5.01,22.38,15.99,15.27,6.12,10.06,0.79,,,,,,,,,
29-Jun-2020 - 00:00,50.55,236.89,8.82,24.16,20.08,13.81,4.68,15.54,0.82,,,,,,,,,
30-Jun-2020 - 00:00,47.61,122.93,6.96,27.67,20.39,16.99,3.21,22.11,0.53,,,,,,,,,
01-Jul-2020 - 00:00,53.71,154.44,5.92,30.01,20.77,17.26,5.24,25.8,0.92,,,,,,,,,
02-Jul-2020 - 00:00,70.04,190.29,10.08,37.29,28.04,16.33,2.9,32.36,0.42,,,,,,,,,
03-Jul-2020 - 00:00,66.17,178.58,9.84,40.38,29.53,14.62,3.19,32.31,0.57,,,,,,,,,
04-Jul-2020 - 00:00,45.33,113.25,7.57,28.36,21.22,12.46,2.37,27.26,0.92,,,,,,,,,
05-Jul-2020 - 00:00,24.19,70.17,3.5,19.76,13.38,9.46,5.87,25.46,1.17,,,,,,,,,
06-Jul-2020 - 00:00,46.52,112.35,5.92,27.36,19.42,9.55,6.54,24.35,1.15,,,,,,,,,
07-Jul-2020 - 00:00,20.15,53.46,12.14,21.04,21.14,7.28,7.19,15.66,0.6,,,,,,,,,
08-Jul-2020 - 00:00,21.17,48.4,8.44,22.09,18.7,7.04,4.43,18.96,0.57,,,,,,,,,
09-Jul-2020 - 00:00,38.31,87.42,4.52,25.43,17.22,7.77,5.12,28.02,0.77,,,,,,,,,
10-Jul-2020 - 00:00,27.62,75.88,2.51,19.16,12.24,6.74,2.82,25.26,0.53,,,,,,,,,
11-Jul-2020 - 00:00,21.4,63.23,5.41,23.28,16.46,6.39,4.12,29.15,0.66,,,,,,,,,
12-Jul-2020 - 00:00,25.17,69.54,2.7,18.45,12,6.26,9.61,26.33,0.84,,,,,,,,,
13-Jul-2020 - 00:00,37.67,129.81,2.53,21.03,13.25,6.31,12.68,30.13,1.01,,,,,,,,,
14-Jul-2020 - 00:00,51.06,181.77,5.83,21.73,16.32,6.53,7.04,29.75,1.21,,,,,,,,,
15-Jul-2020 - 00:00,41.23,117.77,5.97,23.79,17.52,6.87,11.15,29.74,0.79,,,,,,,,,
16-Jul-2020 - 00:00,34.73,83.64,5.53,22.38,16.38,6.74,13.73,25.56,1.02,,,,,,,,,
17-Jul-2020 - 00:00,48.36,111.26,8.49,31.71,23.78,7.94,8.52,28.14,1.03,,,,,,,,,
18-Jul-2020 - 00:00,32.89,84.99,6.92,22.67,17.72,7.12,9.4,21.21,0.6,,,,,,,,,
19-Jul-2020 - 00:00,19.16,47.4,4.1,21.15,14.6,6.68,2.28,25.51,1.63,,,,,,,,,
20-Jul-2020 - 00:00,16.15,54.13,4.34,25.3,16.99,6.31,3,28.29,0.43,,,,,,,,,
21-Jul-2020 - 00:00,21.6,52.15,8.94,31.35,23.99,6.2,5.76,33.19,0.44,,,,,,,,,
22-Jul-2020 - 00:00,26.64,60.77,4.95,25.77,17.75,6.37,4.9,35.75,0.67,,,,,,,,,
23-Jul-2020 - 00:00,33.27,77.31,8.15,27.01,21.01,7.1,6.39,36.04,0.61,,,,,,,,,
24-Jul-2020 - 00:00,51.83,101.65,6.59,31.03,21.87,8.64,5.51,29.79,0.67,,,,,,,,,
25-Jul-2020 - 00:00,28.97,72.41,9.65,22.03,19.58,11.52,6.46,22.41,0.75,,,,,,,,,
26-Jul-2020 - 00:00,43.46,98.18,6.9,30.38,21.78,9.65,2.2,34.81,1.06,,,,,,,,,
27-Jul-2020 - 00:00,39.83,106.14,4.63,25.66,17.42,9.04,3.39,30.28,0.81,,,,,,,,,
28-Jul-2020 - 00:00,23.53,85.59,4.38,24.03,16.36,8.08,4.55,18.89,0.9,,,,,,,,,
29-Jul-2020 - 00:00,23.95,95.72,11.47,36.66,28.86,7.15,4.76,19.19,0.75,,,,,,,,,
30-Jul-2020 - 00:00,20.76,58.2,10.49,29.62,24.31,6.59,3.68,17.11,0.81,,,,,,,,,
31-Jul-2020 - 00:00,35.08,87.31,6.71,32.51,22.76,6.71,5.13,19.05,0.95,,,,,,,,,
01-Aug-2020 - 00:00,26.04,59.92,6.5,24.48,18.32,6.34,2.89,15.89,0.74,,,,,,,,,
02-Aug-2020 - 00:00,21.69,43.62,5.91,18.06,14.43,5.6,4.98,15.13,0.77,,,,,,,,,
03-Aug-2020 - 00:00,25.46,66.6,5.42,18.5,14.26,6.74,3.56,22.92,0.69,,,,,,,,,
04-Aug-2020 - 00:00,23.73,90.17,6.76,24.85,18.71,6.84,2.87,27.7,0.73,,,,,,,,,
05-Aug-2020 - 00:00,37.69,109,7.92,30.59,22.73,6.82,3.56,27.41,0.91,,,,,,,,,
06-Aug-2020 - 00:00,18.26,77.06,9.55,21.76,19.36,5.69,4.14,26.19,0.65,,,,,,,,,
07-Aug-2020 - 00:00,20.31,57.85,8.33,25.13,20.15,7.19,3.58,20.81,0.75,,,,,,,,,
08-Aug-2020 - 00:00,40.98,92.27,3.63,23.95,15.7,10.81,2.44,19.75,0.86,,,,,,,,,
09-Aug-2020 - 00:00,27.92,55.04,3.72,17.83,12.52,9.9,3.62,20.79,0.78,,,,,,,,,
10-Aug-2020 - 00:00,33.95,69.31,10.78,27.77,23.56,9.84,2.56,21.91,0.87,,,,,,,,,
11-Aug-2020 - 00:00,37.07,83.38,10.07,25.73,21.9,9.62,2,21.44,0.93,,,,,,,,,
12-Aug-2020 - 00:00,19.36,60.34,3.49,15.57,11.13,8.59,0.78,21,0.81,,,,,,,,,
13-Aug-2020 - 00:00,15.99,44.64,6.31,22.78,17.26,8.54,5.62,15.85,1.55,,,,,,,,,
14-Aug-2020 - 00:00,18.73,59.39,5.48,18.52,14.33,9.69,3.34,9.86,0.29,,,,,,,,,
15-Aug-2020 - 00:00,31.54,69.5,11.98,25.19,23.17,9.77,3.48,11.24,0.34,,,,,,,,,
16-Aug-2020 - 00:00,26.71,70.99,21.21,27.64,31.99,9.21,2.96,12.16,0.7,,,,,,,,,
17-Aug-2020 - 00:00,30.72,76.74,15.44,31.89,29.54,9,2.72,11.52,0.54,,,,,,,,,
18-Aug-2020 - 00:00,36.42,88.76,13.02,31.88,27.57,8.94,2.79,11.12,0.65,,,,,,,,,
19-Aug-2020 - 00:00,18.8,47.97,17.05,32.83,31.37,8.12,3.01,10.19,0.45,,,,,,,,,
20-Aug-2020 - 00:00,15.1,42.14,9.9,29.83,23.94,8.09,1.73,8,0.32,,,,,,,,,
21-Aug-2020 - 00:00,14.42,48.15,9.12,23.46,19.92,8.03,3.43,8,0.55,,,,,,,,,
22-Aug-2020 - 00:00,12.71,61.43,7.61,18.3,15.94,8.51,3.09,8.87,0.51,,,,,,,,,
23-Aug-2020 - 00:00,17.24,54,5.46,17.13,13.57,9.41,2.57,14.07,1.05,,,,,,,,,
24-Aug-2020 - 00:00,17.56,58.58,21.69,31.23,34.3,10.88,4.15,12.66,1.59,,,,,,,,,
25-Aug-2020 - 00:00,24.98,73.65,13.94,33.98,29.45,11.52,2.87,12.48,0.52,,,,,,,,,
26-Aug-2020 - 00:00,16.06,55.69,9.23,22.5,19.49,10.89,4.3,12.02,0.46,,,,,,,,,
27-Aug-2020 - 00:00,28,80.98,8.03,22.13,18.32,11.15,3.28,12.02,0.78,,,,,,,,,
28-Aug-2020 - 00:00,29.65,81.92,12.47,25.93,23.97,11.59,7.11,11.35,0.34,,,,,,,,,
29-Aug-2020 - 00:00,31.23,84.31,14.22,31.18,28.15,11.59,7.92,11.54,0.38,,,,,,,,,
30-Aug-2020 - 00:00,21.04,64.73,9.16,19.61,17.9,11.09,7.54,9.76,0.67,,,,,,,,,
31-Aug-2020 - 00:00,15.9,49.67,16.19,31.79,30.1,10.57,6.04,10.66,0.39,,,,,,,,,
01-Sep-2020 - 00:00,24.75,77.27,21.55,37.77,37.69,10.72,6.87,11.38,0.82,,,,,,,,,
02-Sep-2020 - 00:00,29.81,91.33,3.56,28.06,17.83,11.01,5.95,11.94,0.26,,,,,,,,,
03-Sep-2020 - 00:00,46.54,126.44,13.51,36.09,30.21,11.94,14.06,13.13,0.39,,,,,,,,,
04-Sep-2020 - 00:00,50.65,129.94,8.55,37.12,26.72,12.24,6.65,12.47,0.45,,,,,,,,,
05-Sep-2020 - 00:00,51.52,120.17,11.53,29.72,25.21,12.31,7.73,12.66,0.43,,,,,,,,,
06-Sep-2020 - 00:00,30.02,73.17,4.05,20.52,14.23,12.09,5.02,11.11,0.49,,,,,,,,,
07-Sep-2020 - 00:00,35.38,88.42,6.79,25.49,19.09,12.57,7.06,11.54,0.49,,,,,,,,,
08-Sep-2020 - 00:00,30.93,81.75,3.41,22.73,14.86,13.02,8.7,14.58,0.65,,,,,,,,,
09-Sep-2020 - 00:00,50.52,116.56,3.64,25.3,16.43,19.17,10.66,17.28,0.84,,,,,,,,,
10-Sep-2020 - 00:00,49.39,119.86,6,28.27,19.92,26.16,12.76,17.35,1.39,,,,,,,,,
11-Sep-2020 - 00:00,65.06,175.16,21.14,31.58,34.05,28.87,11.61,20.19,1.17,,,,,,,,,
12-Sep-2020 - 00:00,61.02,184.69,17.69,31.59,31.22,43.89,2.42,15.18,1.09,,,,,,,,,
13-Sep-2020 - 00:00,68.02,183.48,10.69,31.38,25.4,47.06,3.16,17.48,0.96,,,,,,,,,
14-Sep-2020 - 00:00,68.35,178.25,12.18,32.48,27.21,48.02,5.34,16.82,1.04,,,,,,,,,
15-Sep-2020 - 00:00,68.9,168.03,6.64,31.34,22.08,44.85,4.61,16.39,0.96,,,,,,,,,
16-Sep-2020 - 00:00,66.26,180.26,7.01,31.61,22.53,42.97,5.29,16.02,0.93,,,,,,,,,
17-Sep-2020 - 00:00,50.61,130.5,3.61,24.45,15.95,40.63,4.66,15.88,0.88,,,,,,,,,
18-Sep-2020 - 00:00,44.52,140.32,3.03,23.45,14.95,37,4.29,15.26,1.18,,,,,,,,,
19-Sep-2020 - 00:00,58.77,159.79,11.48,29.58,25.09,34.88,4.88,15.55,0.67,,,,,,,,,
20-Sep-2020 - 00:00,67.06,179.7,4.95,26.1,17.92,37.23,3.88,14.47,0.65,,,,,,,,,
21-Sep-2020 - 00:00,60,163.55,1.9,23.42,14.01,37.84,2.71,14.64,0.54,,,,,,,,,
22-Sep-2020 - 00:00,48.54,151.8,12.41,36.05,29.29,35.43,6.94,15.46,0.86,,,,,,,,,
23-Sep-2020 - 00:00,31.2,121.27,19.96,35.29,35.04,33.22,6.38,14.68,0.44,,,,,,,,,
24-Sep-2020 - 00:00,45.28,126.43,15.02,35.3,31,31.93,6.42,13.33,1.07,,,,,,,,,
25-Sep-2020 - 00:00,62.07,169.89,5.14,36.83,23.77,31.74,5.6,10.44,0.93,,,,,,,,,
26-Sep-2020 - 00:00,74.95,191.97,9.2,39,28.24,32.19,11.11,9.3,0.72,,,,,,,,,
27-Sep-2020 - 00:00,38.03,128.98,7.48,27.75,20.87,31.08,9.24,11.95,0.59,,,,,,,,,
28-Sep-2020 - 00:00,68.78,215.9,7,31.68,22.55,34.54,7.77,15.23,0.99,,,,,,,,,
29-Sep-2020 - 00:00,77,236.24,3.55,29.71,18.62,35.3,8.16,15.89,1.16,,,,,,,,,
30-Sep-2020 - 00:00,57.88,184.99,2.73,27.65,16.93,34.26,8.38,14.16,0.66,,,,,,,,,
01-Oct-2020 - 00:00,66.57,211.38,4.01,35.52,21.96,34.15,7.22,15.05,0.84,,,,,,,,,
02-Oct-2020 - 00:00,83.99,209.52,8.19,32.02,23.71,35.01,9.67,15.59,0.7,,,,,,,,,
03-Oct-2020 - 00:00,89.58,235.18,2.22,35.9,20.9,35.8,10.34,17.01,0.42,,,,,,,,,
04-Oct-2020 - 00:00,89.95,243.44,13.12,36.54,30.12,34.05,14.41,18.16,0.64,,,,,,,,,
05-Oct-2020 - 00:00,77.75,223.2,3.46,37.36,22.67,34.05,12.73,17.43,0.43,,,,,,,,,
06-Oct-2020 - 00:00,91.33,250.69,29.43,48.75,49.93,34.9,16.49,17.95,1.11,,,,,,,,,
07-Oct-2020 - 00:00,111.93,299.89,36.2,45.52,53.08,39.05,15.7,18.98,1.03,,,,,,,,,
08-Oct-2020 - 00:00,98.64,275.92,5.55,40.38,25.88,42.71,12.57,24.07,0.44,,,,,,,,,
09-Oct-2020 - 00:00,102.58,301.5,7.57,40.65,27.6,42.82,14.74,60.49,0.95,,,,,,,,,
10-Oct-2020 - 00:00,116.12,290.88,5.57,40.49,25.96,45.1,19.97,35.41,1.18,,,,,,,,,
11-Oct-2020 - 00:00,118.27,319.85,4.43,36.94,23.26,46.48,12.93,53.76,0.7,,,,,,,,,
12-Oct-2020 - 00:00,144.21,349.69,30.66,58.56,56.14,46.61,16.23,45.71,1.5,,,,,,,,,
13-Oct-2020 - 00:00,153.23,380.25,31.33,64.64,59.92,54.82,14.54,50.57,1.42,,,,,,,,,
14-Oct-2020 - 00:00,146.73,385.15,21.34,58.41,48.45,68.56,17.54,38.69,1.44,,,,,,,,,
15-Oct-2020 - 00:00,136.81,338.23,12.44,50.09,36.78,55.09,16.96,40.8,1.15,,,,,,,,,
16-Oct-2020 - 00:00,121.81,301.08,16.21,56.85,43.47,45.34,13.53,51.09,1.06,,,,,,,,,
17-Oct-2020 - 00:00,130.52,316.44,13.27,55.7,40.44,47.09,15.31,54.48,1.08,,,,,,,,,
18-Oct-2020 - 00:00,103.46,253.81,3.4,38.59,23.3,40.39,13.96,57.99,1.01,,,,,,,,,
19-Oct-2020 - 00:00,111.69,290.1,4.4,44.07,27.03,38.27,15.13,56.91,1.03,,,,,,,,,
20-Oct-2020 - 00:00,117.26,299.33,10.44,55.91,38.25,35.69,15.78,57.85,1.18,,,,,,,,,
21-Oct-2020 - 00:00,158.62,384.35,84.29,78.69,108.78,41.52,15.69,62.65,0.99,,,,,,,,,
22-Oct-2020 - 00:00,200.52,466.37,93.62,83.3,120.63,57.29,11.1,52,0.95,,,,,,,,,
23-Oct-2020 - 00:00,237.27,473.31,80.41,76.07,106.02,59.88,8.51,56.86,1.76,,,,,,,,,
24-Oct-2020 - 00:00,236.12,421.79,45.51,68.59,73.57,55.94,7.04,49.06,1.19,,,,,,,,,
25-Oct-2020 - 00:00,211.21,409.27,95.65,74.6,115.98,49.51,6.63,57.68,1.38,,,,,,,,,
26-Oct-2020 - 00:00,198.08,407.69,34.14,63.98,61.85,53.75,6.67,52.16,1.12,,,,,,,,,
27-Oct-2020 - 00:00,176.33,318.54,7.38,49.92,32.56,21.55,5.66,45.66,1.08,,,,,,,,,
28-Oct-2020 - 00:00,211.6,371.73,49.31,68.89,76.84,13.37,7.29,45.62,1.69,,,,,,,,,
29-Oct-2020 - 00:00,301.5,527.17,74.91,96.6,112.44,17.18,8.54,38.12,2.47,,,,,,,,,
30-Oct-2020 - 00:00,240.06,398.79,10.66,59.46,40.32,16.12,6.54,47.72,1.58,,,,,,,,,
31-Oct-2020 - 00:00,302.79,479.19,3.7,50.02,29.57,17.15,9.82,50.84,1.6,,,,,,,,,
01-Nov-2020 - 00:00,321.04,491.06,6.04,52,32.45,16.39,7.66,49.13,1.86,,,,,,,,,
02-Nov-2020 - 00:00,209,387.02,74.89,62.5,94.29,13.93,7.67,36.28,1.72,,,,,,,,,
03-Nov-2020 - 00:00,181.53,417.62,116.22,81.77,138.22,13.69,10.6,33.75,2,,,,,,,,,
04-Nov-2020 - 00:00,400.45,610.97,76.2,92.56,111.36,22.26,9.18,24.27,2.06,,,,,,,,,
05-Nov-2020 - 00:00,337.18,512.53,41.12,76.26,74.09,24.1,7.11,41.89,1.83,,,,,,,,,
06-Nov-2020 - 00:00,328.28,512.54,22.74,72.46,56.67,27.24,7.66,41.52,1.71,,,,,,,,,
07-Nov-2020 - 00:00,376.27,573.64,17.87,65.67,49.49,28.05,6.37,51.49,1.84,,,,,,,,,
08-Nov-2020 - 00:00,449.4,674.61,31.51,79.44,67.35,30.99,8.34,45.81,2.1,,,,,,,,,
09-Nov-2020 - 00:00,603.01,717.35,24.95,82.91,63.51,34.58,6.54,42.39,2.54,,,,,,,,,
10-Nov-2020 - 00:00,405.74,488.76,116.96,91.76,144.16,37.32,13.31,44.25,2.87,,,,,,,,,
11-Nov-2020 - 00:00,196.36,384.52,163.77,68.42,169.9,32.16,12.7,33.7,2,,,,,,,,,
12-Nov-2020 - 00:00,186.62,385.64,134.76,83.09,154.06,33.04,12.9,30.39,2.16,,,,,,,,,
13-Nov-2020 - 00:00,279.73,447.3,19.98,68.29,52.6,35.58,11.45,45.38,2.24,,,,,,,,,
14-Nov-2020 - 00:00,500.24,707.57,18.14,65.01,49.37,37.82,12.8,42.34,2.72,,,,,,,,,
15-Nov-2020 - 00:00,300.31,439.47,9.58,54.4,36.74,36.92,12.23,55.85,1.93,,,,,,,,,
16-Nov-2020 - 00:00,80.69,144.31,5.98,35.99,24.03,36.06,6.95,40,1.53,,,,,,,,,
17-Nov-2020 - 00:00,86.12,157.16,9.84,37.36,27.9,31.71,7.68,31.5,1.58,,,,,,,,,
