date,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Wind speed,,,,,,,,
09-Mar-2019 - 00:00,55.54,149.34,4.76,38.63,24.41,40.16,14.63,1.5,40.9,1.49,,,,,,,,
10-Mar-2019 - 00:00,74.97,188.32,10.07,44.75,32.02,32.62,19.8,1.72,54.94,1.05,,,,,,,,
11-Mar-2019 - 00:00,82.65,231.24,13.24,64.34,45,38.97,18.33,1.55,51.77,1.78,,,,,,,,
12-Mar-2019 - 00:00,58.74,153.44,2.16,38.19,22.08,41.87,14.92,1.46,51.58,1.57,,,,,,,,
13-Mar-2019 - 00:00,82.28,249.92,9.78,59.79,39.8,47.06,28.34,1.86,46.68,1.03,,,,,,,,
14-Mar-2019 - 00:00,100.42,233.68,23.91,52.33,47.37,49.54,17.38,1.71,25.78,1.41,,,,,,,,
15-Mar-2019 - 00:00,63.36,128.67,5.85,34.79,23.29,39.2,16.05,1.18,40.41,1.38,,,,,,,,
16-Mar-2019 - 00:00,70.3,139.89,2.01,36.58,21.1,32.81,15.39,1.13,53.57,1.31,,,,,,,,
17-Mar-2019 - 00:00,88.69,172.51,3.35,42.19,25.17,34.4,21.3,0.96,27.34,1.07,,,,,,,,
18-Mar-2019 - 00:00,100.79,203.03,8.9,46.59,32.04,35.01,23.64,1.18,70.14,0.96,,,,,,,,
19-Mar-2019 - 00:00,91.5,202.4,17.03,50.36,40.63,34.52,20.42,1.58,49.19,0.97,,,,,,,,
20-Mar-2019 - 00:00,101.51,272.02,34.5,62.57,61.42,40.76,21.2,2.33,52.84,1.23,,,,,,,,
21-Mar-2019 - 00:00,90.45,178.36,1.09,29.19,16.27,45.99,20.14,1.95,55.08,1.32,,,,,,,,
22-Mar-2019 - 00:00,36.42,109.96,1.19,27.77,16.1,33.22,14.37,0.74,62.54,1.86,,,,,,,,
23-Mar-2019 - 00:00,52.52,125.62,1.17,26.55,15.06,30.46,15.66,1,68.61,1.94,,,,,,,,
24-Mar-2019 - 00:00,43.75,124.4,2.09,28.19,16.7,30.29,16.79,1.16,48.28,1.69,,,,,,,,
25-Mar-2019 - 00:00,71.19,160.21,2.17,31.89,18.73,33.49,19.46,1.03,37.05,1.63,,,,,,,,
26-Mar-2019 - 00:00,81.72,167.7,4.59,44.09,27.19,34,25.16,2.17,47.29,1.62,,,,,,,,
27-Mar-2019 - 00:00,92.54,190.68,10.08,48.77,34.14,31,30.74,1.02,52.5,1.19,,,,,,,,
28-Mar-2019 - 00:00,125.08,275.22,23.59,57.33,49.69,34.03,37.42,1.46,51.46,0.79,,,,,,,,
29-Mar-2019 - 00:00,88.93,223.41,16.62,50.39,40.34,38.36,20.89,1.46,44.38,0.91,,,,,,,,
30-Mar-2019 - 00:00,98.93,259.68,17.57,48.48,40.09,48.32,23.58,1.37,60.05,1.07,,,,,,,,
31-Mar-2019 - 00:00,54.33,171.56,1.34,28.98,16.48,38.83,21.69,1.21,60.04,1.91,,,,,,,,
01-Apr-2019 - 00:00,71.62,197.07,2.06,28.21,16.37,31.32,9.7,1.24,21.11,9.61,,,,,,,,
02-Apr-2019 - 00:00,110.96,255.98,14.52,32.42,29.08,44.56,15.68,1.34,57.46,7.18,,,,,,,,
03-Apr-2019 - 00:00,110.85,309.29,22.86,50.77,45.65,41.27,35.4,1.43,65.14,1.13,,,,,,,,
04-Apr-2019 - 00:00,126.77,351.81,58.32,67.03,83.21,42.87,32.84,1.43,58.3,0.79,,,,,,,,
05-Apr-2019 - 00:00,138.7,364.39,53.51,75.84,83.88,47.38,33.46,1.52,30.24,0.68,,,,,,,,
